Investment choice name,Date,Currency,NAV / unit
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-16,USD,1.0000
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-17,USD,1.0000
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-18,USD,1.0000
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-19,USD,0.9990
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-20,USD,0.9980
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-23,USD,0.9970
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-24,USD,0.9970
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-25,USD,0.9950
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-26,USD,0.9940
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-27,USD,0.9940
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-04-30,USD,0.9930
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-02,USD,0.9920
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-03,USD,0.9910
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-04,USD,0.9870
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-07,USD,0.9840
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-08,USD,0.9800
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-09,USD,0.9780
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-10,USD,0.9780
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-11,USD,0.9780
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-14,USD,0.9820
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-15,USD,0.9820
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-16,USD,0.9820
MIL Allianz Dynamic Asian High Yield Bond Fund #,2018-05-17,USD,0.9800
