Investment choice name,Date,Currency,NAV / unit
MIL UBS China Opportunity Fund #,2013-12-12,USD,1.0000
MIL UBS China Opportunity Fund #,2013-12-13,USD,1.0000
MIL UBS China Opportunity Fund #,2013-12-16,USD,1.0000
MIL UBS China Opportunity Fund #,2013-12-17,USD,1.0000
MIL UBS China Opportunity Fund #,2013-12-18,USD,1.0010
MIL UBS China Opportunity Fund #,2013-12-19,USD,1.0000
MIL UBS China Opportunity Fund #,2013-12-20,USD,0.9980
MIL UBS China Opportunity Fund #,2013-12-23,USD,1.0000
MIL UBS China Opportunity Fund #,2013-12-24,USD,1.0080
MIL UBS China Opportunity Fund #,2013-12-27,USD,1.0210
MIL UBS China Opportunity Fund #,2013-12-30,USD,1.0250
MIL UBS China Opportunity Fund #,2013-12-31,USD,1.0260
MIL UBS China Opportunity Fund #,2014-01-02,USD,1.0280
MIL UBS China Opportunity Fund #,2014-01-03,USD,1.0260
MIL UBS China Opportunity Fund #,2014-01-06,USD,1.0150
MIL UBS China Opportunity Fund #,2014-01-07,USD,1.0200
MIL UBS China Opportunity Fund #,2014-01-08,USD,1.0300
MIL UBS China Opportunity Fund #,2014-01-09,USD,1.0190
MIL UBS China Opportunity Fund #,2014-01-10,USD,1.0230
MIL UBS China Opportunity Fund #,2014-01-13,USD,1.0280
MIL UBS China Opportunity Fund #,2014-01-14,USD,1.0260
MIL UBS China Opportunity Fund #,2014-01-15,USD,1.0350
MIL UBS China Opportunity Fund #,2014-01-16,USD,1.0350
MIL UBS China Opportunity Fund #,2014-01-17,USD,1.0330
MIL UBS China Opportunity Fund #,2014-01-20,USD,1.0380
MIL UBS China Opportunity Fund #,2014-01-21,USD,1.0380
MIL UBS China Opportunity Fund #,2014-01-22,USD,1.0420
MIL UBS China Opportunity Fund #,2014-01-23,USD,1.0360
MIL UBS China Opportunity Fund #,2014-01-24,USD,1.0200
MIL UBS China Opportunity Fund #,2014-01-27,USD,1.0030
MIL UBS China Opportunity Fund #,2014-01-28,USD,1.0070
MIL UBS China Opportunity Fund #,2014-01-29,USD,1.0280
MIL UBS China Opportunity Fund #,2014-01-30,USD,1.0270
MIL UBS China Opportunity Fund #,2014-02-04,USD,1.0010
MIL UBS China Opportunity Fund #,2014-02-05,USD,0.9880
MIL UBS China Opportunity Fund #,2014-02-06,USD,0.9930
MIL UBS China Opportunity Fund #,2014-02-07,USD,1.0110
MIL UBS China Opportunity Fund #,2014-02-10,USD,1.0160
MIL UBS China Opportunity Fund #,2014-02-11,USD,1.0240
MIL UBS China Opportunity Fund #,2014-02-12,USD,1.0340
MIL UBS China Opportunity Fund #,2014-02-13,USD,1.0320
MIL UBS China Opportunity Fund #,2014-02-14,USD,1.0370
MIL UBS China Opportunity Fund #,2014-02-17,USD,1.0460
MIL UBS China Opportunity Fund #,2014-02-18,USD,1.0460
MIL UBS China Opportunity Fund #,2014-02-19,USD,1.0500
MIL UBS China Opportunity Fund #,2014-02-20,USD,1.0450
MIL UBS China Opportunity Fund #,2014-02-21,USD,1.0440
MIL UBS China Opportunity Fund #,2014-02-24,USD,1.0400
MIL UBS China Opportunity Fund #,2014-02-25,USD,1.0320
MIL UBS China Opportunity Fund #,2014-02-26,USD,1.0420
MIL UBS China Opportunity Fund #,2014-02-27,USD,1.0550
MIL UBS China Opportunity Fund #,2014-02-28,USD,1.0580
MIL UBS China Opportunity Fund #,2014-03-03,USD,1.0480
MIL UBS China Opportunity Fund #,2014-03-04,USD,1.0490
MIL UBS China Opportunity Fund #,2014-03-05,USD,1.0550
MIL UBS China Opportunity Fund #,2014-03-06,USD,1.0640
MIL UBS China Opportunity Fund #,2014-03-07,USD,1.0640
MIL UBS China Opportunity Fund #,2014-03-10,USD,1.0520
MIL UBS China Opportunity Fund #,2014-03-11,USD,1.0530
MIL UBS China Opportunity Fund #,2014-03-12,USD,1.0460
MIL UBS China Opportunity Fund #,2014-03-13,USD,1.0360
MIL UBS China Opportunity Fund #,2014-03-14,USD,1.0210
MIL UBS China Opportunity Fund #,2014-03-17,USD,1.0160
MIL UBS China Opportunity Fund #,2014-03-18,USD,1.0370
MIL UBS China Opportunity Fund #,2014-03-19,USD,1.0370
MIL UBS China Opportunity Fund #,2014-03-20,USD,1.0270
MIL UBS China Opportunity Fund #,2014-03-21,USD,1.0300
MIL UBS China Opportunity Fund #,2014-03-24,USD,1.0390
MIL UBS China Opportunity Fund #,2014-03-25,USD,1.0180
MIL UBS China Opportunity Fund #,2014-03-26,USD,1.0270
MIL UBS China Opportunity Fund #,2014-03-27,USD,1.0060
MIL UBS China Opportunity Fund #,2014-03-28,USD,1.0130
MIL UBS China Opportunity Fund #,2014-03-31,USD,1.0260
MIL UBS China Opportunity Fund #,2014-04-01,USD,1.0390
MIL UBS China Opportunity Fund #,2014-04-02,USD,1.0460
MIL UBS China Opportunity Fund #,2014-04-03,USD,1.0370
MIL UBS China Opportunity Fund #,2014-04-04,USD,1.0320
MIL UBS China Opportunity Fund #,2014-04-07,USD,1.0130
MIL UBS China Opportunity Fund #,2014-04-08,USD,1.0230
MIL UBS China Opportunity Fund #,2014-04-09,USD,1.0330
MIL UBS China Opportunity Fund #,2014-04-10,USD,1.0480
MIL UBS China Opportunity Fund #,2014-04-11,USD,1.0320
MIL UBS China Opportunity Fund #,2014-04-14,USD,1.0240
MIL UBS China Opportunity Fund #,2014-04-15,USD,1.0130
MIL UBS China Opportunity Fund #,2014-04-16,USD,1.0150
MIL UBS China Opportunity Fund #,2014-04-17,USD,1.0190
MIL UBS China Opportunity Fund #,2014-04-22,USD,1.0250
MIL UBS China Opportunity Fund #,2014-04-23,USD,1.0300
MIL UBS China Opportunity Fund #,2014-04-24,USD,1.0270
MIL UBS China Opportunity Fund #,2014-04-25,USD,1.0110
MIL UBS China Opportunity Fund #,2014-04-28,USD,0.9960
MIL UBS China Opportunity Fund #,2014-04-29,USD,0.9920
MIL UBS China Opportunity Fund #,2014-04-30,USD,0.9820
MIL UBS China Opportunity Fund #,2014-05-02,USD,0.9960
MIL UBS China Opportunity Fund #,2014-05-05,USD,0.9930
MIL UBS China Opportunity Fund #,2014-05-07,USD,0.9710
